   2.50       141.40      -141.40
   7.50       141.40      -141.40
  12.50       141.40      -141.40
  17.50       141.40      -141.40
  22.50       141.40      -141.40
  27.50       141.40      -141.40
  32.50       141.40      -141.40
  37.50       141.40      -141.40
  42.50       141.40      -141.40
  47.50       141.40      -141.40
  52.50       141.40      -141.40
  57.50       141.40      -141.40
  62.50       141.40      -141.40
  67.50       141.40      -141.40
  72.50       141.40      -141.40
  77.50       141.40      -141.40
  82.50       141.40      -141.40
  87.50       141.40      -141.40
  92.50       141.40      -141.40
  97.50       141.40      -141.40
 102.50       141.40      -141.40
 107.50          .00      -200.00
 112.50          .00      -200.00
 117.50          .00      -200.00
 122.50          .00      -200.00
 127.50          .00      -200.00
 132.50          .00      -200.00
 137.50          .00      -200.00
 142.50          .00      -200.00
 147.50          .00      -200.00
 152.50          .00      -200.00
 157.50          .00      -200.00
 162.50          .00      -200.00
 167.50          .00      -200.00
 172.50          .00      -200.00
 177.50          .00      -200.00
 182.50          .00      -200.00
 187.50          .00      -200.00
 192.50          .00      -200.00
 197.50          .00      -200.00
