    .00     21131.       346.3
   5.00     19421.       346.8
  10.00     19076.       349.4
  15.00     18071.       351.1
  20.00     17417.       352.5
  25.00     16665.       354.8
  30.00     15386.       357.4
  35.00     14957.         1.2
  40.00     14738.         3.1
  45.00     13743.         4.8
  50.00     13491.         7.7
  55.00     12598.        14.0
  60.00     12023.        18.5
  65.00     11456.        22.0
  70.00     11599.        27.3
  75.00     11163.        29.9
  80.00     10456.        33.8
  85.00     10683.        40.0
  90.00     10861.        45.6
  95.00     10672.        51.2
 100.00     10823.        57.2
 105.00     10339.        61.4
 110.00     10005.        63.5
 115.00      9739.        74.6
 120.00      9554.        78.1
 125.00      9098.        84.1
 130.00      9355.        92.5
 135.00      9565.        98.6
 140.00      9257.       102.7
 145.00      9926.       109.4
 150.00     10137.       114.0
 155.00     10319.       118.7
 160.00     10969.       123.0
 165.00     11885.       129.4
 170.00     12250.       131.0
 175.00     12997.       136.8
 180.00     13389.       134.7
 185.00     14134.       141.0
 190.00     15013.       143.3
 195.00     15831.       145.8
 200.00     16600.       148.0
