    .00      141.4         .0     -141.4         .0
   5.00      141.4       41.8     -141.4     -123.7
  10.00      141.4      109.4     -141.4     -125.5
  15.00      141.4      142.0     -141.4     -146.6
  20.00      141.4      137.9     -141.4     -141.7
  25.00      141.4      141.8     -141.4     -137.5
  30.00      141.4      151.8     -141.4     -177.0
  35.00      141.4      174.6     -141.4     -153.4
  40.00      141.4      151.1     -141.4     -106.0
  45.00      141.4      113.2     -141.4     -129.1
  50.00      141.4      109.8     -141.4     -111.9
  55.00      141.4      160.7     -141.4     -151.1
  60.00      141.4      173.6     -141.4     -168.2
  65.00      141.4      146.5     -141.4     -168.2
  70.00      141.4      160.8     -141.4     -128.1
  75.00      141.4      122.8     -141.4     -115.3
  80.00      141.4       83.8     -141.4     -142.8
  85.00      141.4      120.8     -141.4     -135.7
  90.00      141.4      153.5     -141.4     -126.0
  95.00      141.4      147.6     -141.4     -144.9
 100.00      141.4      148.7     -141.4     -157.6
 105.00         .0       91.3     -200.0     -171.6
 110.00         .0       29.9     -200.0     -147.2
 115.00         .0       33.2     -200.0     -226.5
 120.00         .0       18.4     -200.0     -211.0
 125.00         .0      -15.7     -200.0     -205.4
 130.00         .0        2.6     -200.0     -227.9
 135.00         .0       15.5     -200.0     -225.3
 140.00         .0      -18.9     -200.0     -184.5
 145.00         .0        3.1     -200.0     -198.4
 150.00         .0         .6     -200.0     -190.4
 155.00         .0      -15.8     -200.0     -177.8
 160.00         .0       -3.6     -200.0     -184.3
 165.00         .0         .0     -200.0     -235.7
 170.00         .0        5.3     -200.0     -199.6
 175.00         .0      -21.6     -200.0     -222.1
 180.00         .0       25.6     -200.0     -140.2
 185.00         .0      -16.7     -200.0     -180.9
 190.00         .0      -17.1     -200.0     -204.3
 195.00         .0      -15.7     -200.0     -213.5
 200.00         .0      -17.0     -200.0     -210.0
