    .00    -4995.7         .0    -4995.7    20531.7         .0    20531.7
   5.00    -4446.3    -4995.7    -4611.1    18904.7    20531.7    19392.8
  10.00    -3512.3    -4402.4    -3779.3    18750.2    18774.5    18757.5
  15.00    -2803.7    -3232.4    -2932.3    17852.6    18130.0    17935.8
  20.00    -2276.5    -2222.4    -2260.3    17267.7    17202.9    17248.3
  25.00    -1518.9    -1571.0    -1534.5    16595.3    16540.0    16578.7
  30.00     -694.5     -825.5     -733.8    15370.5    15891.5    15526.8
  35.00      325.2       25.0      235.2    14953.1    14641.6    14859.6
  40.00      798.5     1108.1      891.4    14716.0    14092.8    14529.1
  45.00     1148.1     1646.7     1297.7    13694.8    13999.1    13786.0
  50.00     1818.6     1863.5     1832.1    13367.7    13140.4    13299.5
  55.00     3051.3     2380.8     2850.2    12223.2    12740.3    12378.3
  60.00     3823.5     3653.7     3772.6    11398.6    11622.6    11465.8
  65.00     4283.8     4640.7     4390.8    10624.7    10625.0    10624.8
  70.00     5312.1     5123.3     5255.4    10311.4     9783.8    10153.1
  75.00     5559.0     6059.6     5709.2     9681.0     9512.6     9630.5
  80.00     5809.9     6323.1     5963.8     8692.8     9054.0     8801.2
  85.00     6870.1     6382.7     6723.9     8180.8     8087.4     8152.8
  90.00     7757.8     7328.0     7628.9     7601.7     7474.5     7563.5
  95.00     8318.8     8396.3     8342.0     6684.6     6933.6     6759.3
 100.00     9094.7     9080.0     9090.3     5867.7     6034.8     5917.8
 105.00     9079.1     9833.9     9305.5     4945.4     5129.8     5000.7
 110.00     8954.4     9762.3     9196.8     4463.7     4142.6     4367.4
 115.00     9388.9     9346.5     9376.2     2588.1     3631.3     2901.1
 120.00     9347.8     9542.0     9406.1     1972.5     1768.6     1911.3
 125.00     9049.9     9498.1     9184.4      930.2      856.3      908.0
 130.00     9346.2     9106.1     9274.2     -415.0     -118.9     -326.2
 135.00     9457.0     9287.2     9406.1    -1431.3    -1465.7    -1441.6
 140.00     9031.1     9483.6     9166.8    -2030.9    -2568.0    -2192.0
 145.00     9361.7     9072.4     9274.9    -3298.1    -3114.3    -3243.0
 150.00     9257.6     9290.4     9267.5    -4129.9    -4235.1    -4161.4
 155.00     9055.2     9270.5     9119.8    -4947.8    -5113.6    -4997.5
 160.00     9200.6     9041.0     9152.7    -5971.5    -5886.7    -5946.1
 165.00     9182.8     9134.6     9168.3    -7544.4    -6867.4    -7341.3
 170.00     9238.1     9168.5     9217.2    -8044.3    -8519.9    -8187.0
 175.00     8890.2     9243.8     8996.3    -9481.0    -9184.8    -9392.1
 180.00     9509.6     8888.5     9323.3    -9424.6   -10502.5    -9748.0
 185.00     8894.7     9451.5     9061.7   -10984.4   -10448.7   -10823.7
 190.00     8972.2     8978.3     8974.1   -12036.5   -11728.0   -11944.0
 195.00     8907.8     8888.4     8902.0   -13086.6   -12965.5   -13050.3
 200.00     8806.3     8823.7     8811.5   -14071.4   -14117.9   -14085.3
