    .00     -5000.00     20000.00     20616.       346.0
   5.00     -4293.00     19293.00     19765.       347.5
  10.00     -3586.00     18586.00     18929.       349.1
  15.00     -2879.00     17879.00     18109.       350.9
  20.00     -2172.00     17172.00     17309.       352.8
  25.00     -1465.00     16465.00     16530.       354.9
  30.00      -758.00     15758.00     15776.       357.2
  35.00       -51.00     15051.00     15051.       359.8
  40.00       656.00     14344.00     14359.         2.6
  45.00      1363.00     13637.00     13705.         5.7
  50.00      2070.00     12930.00     13095.         9.1
  55.00      2777.00     12223.00     12534.        12.8
  60.00      3484.00     11516.00     12031.        16.8
  65.00      4191.00     10809.00     11593.        21.2
  70.00      4898.00     10102.00     11227.        25.9
  75.00      5605.00      9395.00     10940.        30.8
  80.00      6312.00      8688.00     10739.        36.0
  85.00      7019.00      7981.00     10628.        41.3
  90.00      7726.00      7274.00     10611.        46.7
  95.00      8433.00      6567.00     10688.        52.1
 100.00      9140.00      5860.00     10857.        57.3
 105.00      9140.00      4860.00     10352.        62.0
 110.00      9140.00      3860.00      9922.        67.1
 115.00      9140.00      2860.00      9577.        72.6
 120.00      9140.00      1860.00      9327.        78.5
 125.00      9140.00       860.00      9180.        84.6
 130.00      9140.00      -140.00      9141.        90.9
 135.00      9140.00     -1140.00      9211.        97.1
 140.00      9140.00     -2140.00      9387.       103.2
 145.00      9140.00     -3140.00      9664.       109.0
 150.00      9140.00     -4140.00     10034.       114.4
 155.00      9140.00     -5140.00     10486.       119.4
 160.00      9140.00     -6140.00     11011.       123.9
 165.00      9140.00     -7140.00     11598.       128.0
 170.00      9140.00     -8140.00     12239.       131.7
 175.00      9140.00     -9140.00     12926.       135.0
 180.00      9140.00    -10140.00     13651.       138.0
 185.00      9140.00    -11140.00     14410.       140.6
 190.00      9140.00    -12140.00     15196.       143.0
 195.00      9140.00    -13140.00     16006.       145.2
 200.00      9140.00    -14140.00     16837.       147.1
