    .00     20616.       346.0
   5.00     19765.       347.5
  10.00     18929.       349.1
  15.00     18109.       350.9
  20.00     17309.       352.8
  25.00     16530.       354.9
  30.00     15776.       357.2
  35.00     15051.       359.8
  40.00     14359.         2.6
  45.00     13705.         5.7
  50.00     13095.         9.1
  55.00     12534.        12.8
  60.00     12031.        16.8
  65.00     11593.        21.2
  70.00     11227.        25.9
  75.00     10940.        30.8
  80.00     10739.        36.0
  85.00     10628.        41.3
  90.00     10611.        46.7
  95.00     10688.        52.1
 100.00     10857.        57.3
 105.00     10352.        62.0
 110.00      9922.        67.1
 115.00      9577.        72.6
 120.00      9327.        78.5
 125.00      9180.        84.6
 130.00      9141.        90.9
 135.00      9211.        97.1
 140.00      9387.       103.2
 145.00      9664.       109.0
 150.00     10034.       114.4
 155.00     10486.       119.4
 160.00     11011.       123.9
 165.00     11598.       128.0
 170.00     12239.       131.7
 175.00     12926.       135.0
 180.00     13651.       138.0
 185.00     14410.       140.6
 190.00     15196.       143.0
 195.00     16006.       145.2
 200.00     16837.       147.1
